Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
9,OF,Andres Torres,32,139,570,507,84,136,43,8,16,63,26,7,56,128,0.268,0.343,0.479,0.823,122,243,10,2,5,0,2
1,C,Buster Posey,23,108,443,406,58,124,23,2,18,67,0,2,30,55,0.305,0.357,0.505,0.862,133,205,12,4,0,3,5
2,1B,Aubrey Huff,33,157,668,569,100,165,35,5,26,86,7,0,83,91,0.29,0.385,0.506,0.891,142,288,17,9,0,7,5
6,LF,Pat Burrell,33,96,341,289,41,77,16,0,18,51,0,2,47,77,0.266,0.364,0.509,0.872,136,147,5,0,0,5,4
14,RF,Jose Guillen,34,42,139,128,9,34,5,0,3,15,0,0,5,29,0.266,0.317,0.375,0.692,89,48,8,5,0,1,0
5,3B,Pablo Sandoval,23,152,616,563,61,151,34,3,13,63,3,2,47,81,0.268,0.323,0.409,0.732,99,230,26,1,0,5,12
4,SS,Juan Uribe,31,148,575,521,64,129,24,2,24,85,1,2,45,92,0.248,0.31,0.44,0.749,102,229,20,4,0,5,6
3,2B,Freddy Sanchez,32,111,479,431,55,126,22,1,7,47,3,1,32,68,0.292,0.342,0.397,0.739,102,171,9,3,8,5,1
24,P,Tim Lincecum,26,33,83,67,2,7,0,0,0,5,0,0,3,29,0.104,0.143,0.104,0.247,-31,7,1,0,13,0,0
